Vardas              Pavarde             Galutinis (Vid.)
Vardas22348         Pavarde22348        1.16
Vardas68628         Pavarde68628        1.24
Vardas39403         Pavarde39403        1.24
Vardas92571         Pavarde92571        1.24
Vardas72598         Pavarde72598        1.24
Vardas27533         Pavarde27533        1.32
Vardas61536         Pavarde61536        1.32
Vardas20938         Pavarde20938        1.32
Vardas79177         Pavarde79177        1.32
Vardas76654         Pavarde76654        1.32
Vardas7643          Pavarde7643         1.32
Vardas79172         Pavarde79172        1.40
Vardas39568         Pavarde39568        1.40
Vardas7120          Pavarde7120         1.40
Vardas33979         Pavarde33979        1.40
Vardas27899         Pavarde27899        1.40
Vardas29526         Pavarde29526        1.40
Vardas12468         Pavarde12468        1.40
Vardas84902         Pavarde84902        1.40
Vardas60429         Pavarde60429        1.40
Vardas63355         Pavarde63355        1.40
Vardas14489         Pavarde14489        1.48
Vardas79511         Pavarde79511        1.48
Vardas63673         Pavarde63673        1.48
Vardas12135         Pavarde12135        1.48
Vardas1521          Pavarde1521         1.48
Vardas57161         Pavarde57161        1.48
Vardas57291         Pavarde57291        1.48
Vardas2420          Pavarde2420         1.48
Vardas78264         Pavarde78264        1.48
Vardas53250         Pavarde53250        1.48
Vardas38580         Pavarde38580        1.48
Vardas21827         Pavarde21827        1.48
Vardas78404         Pavarde78404        1.48
Vardas5189          Pavarde5189         1.48
Vardas81702         Pavarde81702        1.48
Vardas45375         Pavarde45375        1.48
Vardas32142         Pavarde32142        1.56
Vardas63801         Pavarde63801        1.56
Vardas29775         Pavarde29775        1.56
Vardas58511         Pavarde58511        1.56
Vardas35022         Pavarde35022        1.56
Vardas32517         Pavarde32517        1.56
Vardas15260         Pavarde15260        1.56
Vardas77759         Pavarde77759        1.56
Vardas48682         Pavarde48682        1.56
Vardas81671         Pavarde81671        1.56
Vardas96622         Pavarde96622        1.56
Vardas5758          Pavarde5758         1.56
Vardas67434         Pavarde67434        1.56
Vardas86468         Pavarde86468        1.56
Vardas36815         Pavarde36815        1.56
Vardas14217         Pavarde14217        1.56
Vardas29316         Pavarde29316        1.56
Vardas30639         Pavarde30639        1.56
Vardas91167         Pavarde91167        1.56
Vardas30882         Pavarde30882        1.56
Vardas46742         Pavarde46742        1.56
Vardas70878         Pavarde70878        1.56
Vardas65167         Pavarde65167        1.56
Vardas94334         Pavarde94334        1.56
Vardas88877         Pavarde88877        1.56
Vardas84820         Pavarde84820        1.56
Vardas57184         Pavarde57184        1.56
Vardas22834         Pavarde22834        1.56
Vardas50871         Pavarde50871        1.56
Vardas58079         Pavarde58079        1.56
Vardas50810         Pavarde50810        1.56
Vardas41596         Pavarde41596        1.64
Vardas918           Pavarde918          1.64
Vardas61856         Pavarde61856        1.64
Vardas53227         Pavarde53227        1.64
Vardas89032         Pavarde89032        1.64
Vardas90497         Pavarde90497        1.64
Vardas74215         Pavarde74215        1.64
Vardas31067         Pavarde31067        1.64
Vardas23752         Pavarde23752        1.64
Vardas14278         Pavarde14278        1.64
Vardas78608         Pavarde78608        1.64
Vardas64951         Pavarde64951        1.64
Vardas54348         Pavarde54348        1.64
Vardas46749         Pavarde46749        1.64
Vardas89975         Pavarde89975        1.64
Vardas87466         Pavarde87466        1.64
Vardas16512         Pavarde16512        1.64
Vardas91291         Pavarde91291        1.64
Vardas70891         Pavarde70891        1.64
Vardas83892         Pavarde83892        1.64
Vardas17435         Pavarde17435        1.64
Vardas6295          Pavarde6295         1.64
Vardas1157          Pavarde1157         1.64
Vardas89092         Pavarde89092        1.64
Vardas52914         Pavarde52914        1.64
Vardas58479         Pavarde58479        1.64
Vardas61759         Pavarde61759        1.64
Vardas91312         Pavarde91312        1.64
Vardas73575         Pavarde73575        1.64
Vardas87851         Pavarde87851        1.64
Vardas41033         Pavarde41033        1.64
Vardas73922         Pavarde73922        1.64
Vardas68515         Pavarde68515        1.64
Vardas56301         Pavarde56301        1.64
Vardas92115         Pavarde92115        1.64
Vardas60935         Pavarde60935        1.64
Vardas51676         Pavarde51676        1.64
Vardas2877          Pavarde2877         1.64
Vardas47345         Pavarde47345        1.64
Vardas26912         Pavarde26912        1.64
Vardas22724         Pavarde22724        1.64
Vardas18430         Pavarde18430        1.64
Vardas2247          Pavarde2247         1.64
Vardas81164         Pavarde81164        1.64
Vardas50700         Pavarde50700        1.64
Vardas23228         Pavarde23228        1.64
Vardas58223         Pavarde58223        1.64
Vardas94005         Pavarde94005        1.72
Vardas11341         Pavarde11341        1.72
Vardas83391         Pavarde83391        1.72
Vardas85399         Pavarde85399        1.72
Vardas68631         Pavarde68631        1.72
Vardas53225         Pavarde53225        1.72
Vardas62305         Pavarde62305        1.72
Vardas50527         Pavarde50527        1.72
Vardas24889         Pavarde24889        1.72
Vardas34592         Pavarde34592        1.72
Vardas88332         Pavarde88332        1.72
Vardas66792         Pavarde66792        1.72
Vardas73663         Pavarde73663        1.72
Vardas1609          Pavarde1609         1.72
Vardas25577         Pavarde25577        1.72
Vardas69846         Pavarde69846        1.72
Vardas79635         Pavarde79635        1.72
Vardas68467         Pavarde68467        1.72
Vardas64832         Pavarde64832        1.72
Vardas20818         Pavarde20818        1.72
Vardas11990         Pavarde11990        1.72
Vardas98573         Pavarde98573        1.72
Vardas46308         Pavarde46308        1.72
Vardas19017         Pavarde19017        1.72
Vardas80339         Pavarde80339        1.72
Vardas29894         Pavarde29894        1.72
Vardas66011         Pavarde66011        1.72
Vardas37642         Pavarde37642        1.72
Vardas88717         Pavarde88717        1.72
Vardas90118         Pavarde90118        1.72
Vardas68890         Pavarde68890        1.72
Vardas97691         Pavarde97691        1.72
Vardas96455         Pavarde96455        1.72
Vardas36797         Pavarde36797        1.72
Vardas92077         Pavarde92077        1.72
Vardas13450         Pavarde13450        1.72
Vardas42276         Pavarde42276        1.72
Vardas23198         Pavarde23198        1.72
Vardas71807         Pavarde71807        1.72
Vardas97431         Pavarde97431        1.72
Vardas13968         Pavarde13968        1.72
Vardas41428         Pavarde41428        1.72
Vardas29223         Pavarde29223        1.72
Vardas7764          Pavarde7764         1.72
Vardas28838         Pavarde28838        1.72
Vardas15978         Pavarde15978        1.72
Vardas78211         Pavarde78211        1.72
Vardas12380         Pavarde12380        1.72
Vardas28825         Pavarde28825        1.72
Vardas40167         Pavarde40167        1.72
Vardas43130         Pavarde43130        1.72
Vardas71605         Pavarde71605        1.72
Vardas19152         Pavarde19152        1.72
Vardas37308         Pavarde37308        1.72
Vardas78459         Pavarde78459        1.72
Vardas4316          Pavarde4316         1.72
Vardas20996         Pavarde20996        1.72
Vardas68756         Pavarde68756        1.72
Vardas55869         Pavarde55869        1.72
Vardas4956          Pavarde4956         1.72
Vardas41971         Pavarde41971        1.72
Vardas56768         Pavarde56768        1.72
Vardas24884         Pavarde24884        1.72
Vardas71840         Pavarde71840        1.72
Vardas68917         Pavarde68917        1.72
Vardas75709         Pavarde75709        1.72
Vardas26407         Pavarde26407        1.72
Vardas57852         Pavarde57852        1.72
Vardas38199         Pavarde38199        1.72
