Vardas              Pavarde             Galutinis (Vid.)
Vardas976           Pavarde976          1.88
Vardas44            Pavarde44           1.96
Vardas147           Pavarde147          1.96
Vardas556           Pavarde556          2.04
Vardas216           Pavarde216          2.08
Vardas960           Pavarde960          2.08
Vardas971           Pavarde971          2.12
Vardas281           Pavarde281          2.12
Vardas929           Pavarde929          2.12
Vardas606           Pavarde606          2.20
Vardas307           Pavarde307          2.20
Vardas955           Pavarde955          2.20
Vardas460           Pavarde460          2.20
Vardas682           Pavarde682          2.20
Vardas846           Pavarde846          2.28
Vardas868           Pavarde868          2.28
Vardas924           Pavarde924          2.28
Vardas771           Pavarde771          2.28
Vardas412           Pavarde412          2.32
Vardas739           Pavarde739          2.32
Vardas723           Pavarde723          2.36
Vardas609           Pavarde609          2.36
Vardas629           Pavarde629          2.36
Vardas108           Pavarde108          2.36
Vardas555           Pavarde555          2.36
Vardas890           Pavarde890          2.36
Vardas740           Pavarde740          2.36
Vardas666           Pavarde666          2.36
Vardas221           Pavarde221          2.36
Vardas743           Pavarde743          2.40
Vardas763           Pavarde763          2.44
Vardas597           Pavarde597          2.44
Vardas429           Pavarde429          2.44
Vardas793           Pavarde793          2.44
Vardas882           Pavarde882          2.52
Vardas737           Pavarde737          2.52
Vardas525           Pavarde525          2.52
Vardas461           Pavarde461          2.52
Vardas365           Pavarde365          2.56
Vardas444           Pavarde444          2.56
Vardas138           Pavarde138          2.56
Vardas701           Pavarde701          2.60
Vardas36            Pavarde36           2.60
Vardas236           Pavarde236          2.60
Vardas360           Pavarde360          2.68
Vardas909           Pavarde909          2.68
Vardas538           Pavarde538          2.68
Vardas671           Pavarde671          2.68
Vardas840           Pavarde840          2.72
Vardas285           Pavarde285          2.72
Vardas802           Pavarde802          2.72
Vardas247           Pavarde247          2.72
Vardas856           Pavarde856          2.76
Vardas376           Pavarde376          2.76
Vardas305           Pavarde305          2.76
Vardas886           Pavarde886          2.76
Vardas144           Pavarde144          2.76
Vardas251           Pavarde251          2.76
Vardas153           Pavarde153          2.76
Vardas104           Pavarde104          2.76
Vardas519           Pavarde519          2.76
Vardas655           Pavarde655          2.76
Vardas875           Pavarde875          2.76
Vardas37            Pavarde37           2.80
Vardas859           Pavarde859          2.84
Vardas808           Pavarde808          2.84
Vardas545           Pavarde545          2.84
Vardas907           Pavarde907          2.84
Vardas643           Pavarde643          2.84
Vardas24            Pavarde24           2.88
Vardas569           Pavarde569          2.88
Vardas831           Pavarde831          2.88
Vardas607           Pavarde607          2.88
Vardas294           Pavarde294          2.92
Vardas675           Pavarde675          2.92
Vardas830           Pavarde830          2.96
Vardas998           Pavarde998          2.96
Vardas592           Pavarde592          2.96
Vardas634           Pavarde634          2.96
Vardas753           Pavarde753          2.96
Vardas544           Pavarde544          2.96
Vardas602           Pavarde602          2.96
Vardas567           Pavarde567          3.00
Vardas726           Pavarde726          3.00
Vardas687           Pavarde687          3.00
Vardas75            Pavarde75           3.00
Vardas773           Pavarde773          3.00
Vardas414           Pavarde414          3.00
Vardas901           Pavarde901          3.04
Vardas252           Pavarde252          3.04
Vardas440           Pavarde440          3.04
Vardas112           Pavarde112          3.04
Vardas621           Pavarde621          3.04
Vardas827           Pavarde827          3.08
Vardas899           Pavarde899          3.08
Vardas611           Pavarde611          3.08
Vardas373           Pavarde373          3.08
Vardas794           Pavarde794          3.08
Vardas100           Pavarde100          3.08
Vardas378           Pavarde378          3.12
Vardas494           Pavarde494          3.12
Vardas229           Pavarde229          3.12
Vardas523           Pavarde523          3.12
Vardas194           Pavarde194          3.12
Vardas453           Pavarde453          3.16
Vardas250           Pavarde250          3.16
Vardas392           Pavarde392          3.16
Vardas807           Pavarde807          3.16
Vardas690           Pavarde690          3.16
Vardas561           Pavarde561          3.16
Vardas568           Pavarde568          3.16
Vardas804           Pavarde804          3.16
Vardas234           Pavarde234          3.20
Vardas137           Pavarde137          3.20
Vardas41            Pavarde41           3.20
Vardas437           Pavarde437          3.20
Vardas653           Pavarde653          3.24
Vardas647           Pavarde647          3.24
Vardas93            Pavarde93           3.24
Vardas927           Pavarde927          3.24
Vardas520           Pavarde520          3.24
Vardas724           Pavarde724          3.24
Vardas615           Pavarde615          3.24
Vardas168           Pavarde168          3.24
Vardas71            Pavarde71           3.24
Vardas805           Pavarde805          3.28
Vardas174           Pavarde174          3.28
Vardas716           Pavarde716          3.28
Vardas253           Pavarde253          3.28
Vardas821           Pavarde821          3.28
Vardas576           Pavarde576          3.28
Vardas553           Pavarde553          3.32
Vardas992           Pavarde992          3.32
Vardas325           Pavarde325          3.32
Vardas407           Pavarde407          3.32
Vardas536           Pavarde536          3.32
Vardas177           Pavarde177          3.32
Vardas863           Pavarde863          3.36
Vardas904           Pavarde904          3.36
Vardas641           Pavarde641          3.36
Vardas510           Pavarde510          3.36
Vardas218           Pavarde218          3.40
Vardas84            Pavarde84           3.40
Vardas243           Pavarde243          3.40
Vardas39            Pavarde39           3.40
Vardas997           Pavarde997          3.40
Vardas939           Pavarde939          3.40
Vardas416           Pavarde416          3.40
Vardas77            Pavarde77           3.40
Vardas186           Pavarde186          3.40
Vardas30            Pavarde30           3.44
Vardas661           Pavarde661          3.44
Vardas587           Pavarde587          3.44
Vardas348           Pavarde348          3.44
Vardas302           Pavarde302          3.44
Vardas507           Pavarde507          3.48
Vardas171           Pavarde171          3.48
Vardas746           Pavarde746          3.48
Vardas820           Pavarde820          3.48
Vardas225           Pavarde225          3.48
Vardas673           Pavarde673          3.48
Vardas10            Pavarde10           3.48
Vardas25            Pavarde25           3.48
Vardas522           Pavarde522          3.52
Vardas106           Pavarde106          3.52
Vardas776           Pavarde776          3.52
Vardas529           Pavarde529          3.52
Vardas351           Pavarde351          3.52
Vardas290           Pavarde290          3.52
Vardas623           Pavarde623          3.52
Vardas550           Pavarde550          3.56
Vardas2             Pavarde2            3.56
Vardas50            Pavarde50           3.56
Vardas516           Pavarde516          3.56
Vardas921           Pavarde921          3.56
Vardas72            Pavarde72           3.56
