Vardas              Pavarde             Galutinis (Vid.)
Vardas8264          Pavarde8264         1.08
Vardas7262          Pavarde7262         1.24
Vardas2338          Pavarde2338         1.32
Vardas8167          Pavarde8167         1.40
Vardas1032          Pavarde1032         1.40
Vardas3751          Pavarde3751         1.40
Vardas6294          Pavarde6294         1.48
Vardas5054          Pavarde5054         1.48
Vardas9483          Pavarde9483         1.48
Vardas3457          Pavarde3457         1.48
Vardas8942          Pavarde8942         1.56
Vardas9727          Pavarde9727         1.56
Vardas5193          Pavarde5193         1.64
Vardas6184          Pavarde6184         1.64
Vardas2877          Pavarde2877         1.64
Vardas8355          Pavarde8355         1.64
Vardas5052          Pavarde5052         1.64
Vardas7716          Pavarde7716         1.64
Vardas7892          Pavarde7892         1.72
Vardas7500          Pavarde7500         1.72
Vardas1688          Pavarde1688         1.72
Vardas6349          Pavarde6349         1.72
Vardas1685          Pavarde1685         1.72
Vardas7159          Pavarde7159         1.72
Vardas8975          Pavarde8975         1.80
Vardas3690          Pavarde3690         1.80
Vardas6899          Pavarde6899         1.80
Vardas6073          Pavarde6073         1.80
Vardas8783          Pavarde8783         1.80
Vardas7650          Pavarde7650         1.80
Vardas1760          Pavarde1760         1.80
Vardas2319          Pavarde2319         1.80
Vardas1179          Pavarde1179         1.80
Vardas4116          Pavarde4116         1.80
Vardas6731          Pavarde6731         1.80
Vardas4303          Pavarde4303         1.88
Vardas1267          Pavarde1267         1.88
Vardas1952          Pavarde1952         1.88
Vardas6576          Pavarde6576         1.88
Vardas8705          Pavarde8705         1.88
Vardas3346          Pavarde3346         1.88
Vardas8562          Pavarde8562         1.88
Vardas9963          Pavarde9963         1.88
Vardas4701          Pavarde4701         1.88
Vardas7392          Pavarde7392         1.88
Vardas8679          Pavarde8679         1.88
Vardas4584          Pavarde4584         1.88
Vardas3100          Pavarde3100         1.88
Vardas6455          Pavarde6455         1.88
Vardas5331          Pavarde5331         1.88
Vardas6122          Pavarde6122         1.88
Vardas186           Pavarde186          1.92
Vardas6601          Pavarde6601         1.96
Vardas5133          Pavarde5133         1.96
Vardas2127          Pavarde2127         1.96
Vardas6903          Pavarde6903         1.96
Vardas6610          Pavarde6610         1.96
Vardas2121          Pavarde2121         1.96
Vardas6556          Pavarde6556         1.96
Vardas777           Pavarde777          1.96
Vardas3901          Pavarde3901         1.96
Vardas4805          Pavarde4805         1.96
Vardas1756          Pavarde1756         1.96
Vardas5856          Pavarde5856         1.96
Vardas6709          Pavarde6709         1.96
Vardas5443          Pavarde5443         1.96
Vardas2523          Pavarde2523         1.96
Vardas8194          Pavarde8194         1.96
Vardas6127          Pavarde6127         1.96
Vardas3712          Pavarde3712         1.96
Vardas63            Pavarde63           1.96
Vardas5323          Pavarde5323         2.04
Vardas523           Pavarde523          2.04
Vardas6007          Pavarde6007         2.04
Vardas7394          Pavarde7394         2.04
Vardas6260          Pavarde6260         2.04
Vardas3623          Pavarde3623         2.04
Vardas6032          Pavarde6032         2.04
Vardas3294          Pavarde3294         2.04
Vardas452           Pavarde452          2.04
Vardas2695          Pavarde2695         2.04
Vardas9866          Pavarde9866         2.04
Vardas2447          Pavarde2447         2.04
Vardas1089          Pavarde1089         2.04
Vardas5672          Pavarde5672         2.04
Vardas1121          Pavarde1121         2.04
