Vardas              Pavarde             Galutinis (Vid.)
Vardas150           Pavarde150          5.00
Vardas4694          Pavarde4694         5.00
Vardas1209          Pavarde1209         5.00
Vardas6871          Pavarde6871         5.00
Vardas2869          Pavarde2869         5.00
Vardas7214          Pavarde7214         5.00
Vardas3082          Pavarde3082         5.00
Vardas2132          Pavarde2132         5.00
Vardas9104          Pavarde9104         5.00
Vardas9085          Pavarde9085         5.00
Vardas9048          Pavarde9048         5.00
Vardas9039          Pavarde9039         5.00
Vardas1065          Pavarde1065         5.00
Vardas3779          Pavarde3779         5.00
Vardas9019          Pavarde9019         5.00
Vardas4824          Pavarde4824         5.00
Vardas7723          Pavarde7723         5.00
Vardas2074          Pavarde2074         5.00
Vardas953           Pavarde953          5.00
Vardas7925          Pavarde7925         5.00
Vardas8876          Pavarde8876         5.00
Vardas863           Pavarde863          5.00
Vardas859           Pavarde859          5.00
Vardas2199          Pavarde2199         5.00
Vardas9793          Pavarde9793         5.00
Vardas1576          Pavarde1576         5.00
Vardas5076          Pavarde5076         5.00
Vardas7438          Pavarde7438         5.00
Vardas507           Pavarde507          5.00
Vardas5924          Pavarde5924         5.00
Vardas2360          Pavarde2360         5.00
Vardas8596          Pavarde8596         5.00
Vardas586           Pavarde586          5.00
Vardas6181          Pavarde6181         5.00
Vardas3115          Pavarde3115         5.00
Vardas6363          Pavarde6363         5.00
Vardas5017          Pavarde5017         5.00
Vardas3570          Pavarde3570         5.00
Vardas9960          Pavarde9960         5.00
Vardas4453          Pavarde4453         5.00
Vardas9635          Pavarde9635         5.00
Vardas5343          Pavarde5343         5.00
Vardas5350          Pavarde5350         5.00
Vardas3626          Pavarde3626         5.00
Vardas3340          Pavarde3340         5.00
Vardas9436          Pavarde9436         5.00
Vardas5709          Pavarde5709         5.00
Vardas5691          Pavarde5691         5.00
Vardas5279          Pavarde5279         5.00
Vardas3439          Pavarde3439         5.00
Vardas1349          Pavarde1349         5.00
Vardas5456          Pavarde5456         5.00
Vardas7132          Pavarde7132         5.00
Vardas7845          Pavarde7845         5.00
Vardas9292          Pavarde9292         5.00
Vardas5319          Pavarde5319         5.00
Vardas5735          Pavarde5735         5.00
Vardas142           Pavarde142          5.00
Vardas1393          Pavarde1393         5.00
