Vardas              Pavarde             Galutinis (Vid.)
Vardas14664         Pavarde14664        5.00
Vardas44268         Pavarde44268        5.00
Vardas71427         Pavarde71427        5.00
Vardas75453         Pavarde75453        5.00
Vardas25718         Pavarde25718        5.00
Vardas47625         Pavarde47625        5.00
Vardas12621         Pavarde12621        5.00
Vardas53439         Pavarde53439        5.00
Vardas58178         Pavarde58178        5.00
Vardas14729         Pavarde14729        5.00
Vardas27615         Pavarde27615        5.00
Vardas12567         Pavarde12567        5.00
Vardas74795         Pavarde74795        5.00
Vardas42325         Pavarde42325        5.00
Vardas7760          Pavarde7760         5.00
Vardas58199         Pavarde58199        5.00
Vardas81928         Pavarde81928        5.00
Vardas13591         Pavarde13591        5.00
Vardas63502         Pavarde63502        5.00
Vardas53562         Pavarde53562        5.00
Vardas42102         Pavarde42102        5.00
Vardas29609         Pavarde29609        5.00
Vardas29596         Pavarde29596        5.00
Vardas76412         Pavarde76412        5.00
Vardas89076         Pavarde89076        5.00
Vardas9526          Pavarde9526         5.00
Vardas37486         Pavarde37486        5.00
Vardas43062         Pavarde43062        5.00
Vardas3958          Pavarde3958         5.00
Vardas37483         Pavarde37483        5.00
Vardas14946         Pavarde14946        5.00
Vardas66838         Pavarde66838        5.00
Vardas80148         Pavarde80148        5.00
Vardas95471         Pavarde95471        5.00
Vardas44749         Pavarde44749        5.00
Vardas95480         Pavarde95480        5.00
Vardas60734         Pavarde60734        5.00
Vardas25419         Pavarde25419        5.00
Vardas82011         Pavarde82011        5.00
Vardas15011         Pavarde15011        5.00
Vardas25368         Pavarde25368        5.00
Vardas48525         Pavarde48525        5.00
Vardas9467          Pavarde9467         5.00
Vardas42097         Pavarde42097        5.00
Vardas36028         Pavarde36028        5.00
Vardas95542         Pavarde95542        5.00
Vardas10279         Pavarde10279        5.00
Vardas51307         Pavarde51307        5.00
Vardas25331         Pavarde25331        5.00
Vardas10288         Pavarde10288        5.00
Vardas66810         Pavarde66810        5.00
Vardas44768         Pavarde44768        5.00
Vardas57100         Pavarde57100        5.00
Vardas47213         Pavarde47213        5.00
Vardas12214         Pavarde12214        5.00
Vardas27975         Pavarde27975        5.00
Vardas15221         Pavarde15221        5.00
Vardas71594         Pavarde71594        5.00
Vardas70374         Pavarde70374        5.00
Vardas12163         Pavarde12163        5.00
Vardas64743         Pavarde64743        5.00
Vardas63268         Pavarde63268        5.00
Vardas81675         Pavarde81675        5.00
Vardas58472         Pavarde58472        5.00
Vardas75620         Pavarde75620        5.00
Vardas74630         Pavarde74630        5.00
Vardas81391         Pavarde81391        5.00
Vardas38121         Pavarde38121        5.00
Vardas80322         Pavarde80322        5.00
Vardas25110         Pavarde25110        5.00
Vardas29489         Pavarde29489        5.00
Vardas70384         Pavarde70384        5.00
